DirectoryPath,Status,NumberOfSlices,MultipleStacks,Contrast,Orientation,NiftiSafe,Is4D,StackCount,TriggerType,DetailedParams,ValidationNote,ContrastBolusAgent,ContrastBolusRoute,ContrastBolusVolume,ContrastBolusTotalDose,ContrastBolusIngredient,ContrastBolusIngredientConcentration,ScanningSequence,SequenceVariant,ScanOptions,MRAcquisitionType,SequenceName,AngioFlag,SliceThickness,RepetitionTime,EchoTime,InversionTime,NumberOfAverages,ImagingFrequency,ImagedNucleus,EchoNumbers,MagneticFieldStrength,SpacingBetweenSlices,NumberOfPhaseEncodingSteps,EchoTrainLength,PixelBandwidth,ReconstructionDiameter,FlipAngle,VariableFlipAngleFlag,DiffusionBValue,ImageType,SOPClassUID,Modality,StudyDescription,SeriesDescription,SeriesNumber,AcquisitionNumber
/home/anastasiia/Downloads/Series_Classification/0029/6,ok,72,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SP,DIXW,3D,NaN,N,4,4.06,1.23,NaN,1,123.242448,1H,1,3,NaN,143,2,1030,NaN,9,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,6,6,1
/home/anastasiia/Downloads/Series_Classification/0030/15,check_geometry,1,False,True,cor,False,False,1,None,NaN,NON_CUBICAL_IMAGE/GANTRY_TILT,Multihance,NaN,14,0,NaN,0,SE,SK\SP\OSP,PFP\FS,2D,NaN,N,59,4500,657,NaN,1,123.242476,1H,1,3,NaN,369,201,350,NaN,150,N,NaN,ORIGINAL_PRIMARY_M_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,15,15,1
/home/anastasiia/Downloads/Series_Classification/0029/9,ok,72,False,False,tra,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,GR,SP\OSP,PFP\FS,3D,NaN,N,4,4.11,1.9,NaN,1,123.242449,1H,1,3,NaN,145,1,400,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,9,9,1
/home/anastasiia/Downloads/Series_Classification/0030/16,ok,36,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,EP,SK\SP,PFP\SFS,2D,NaN,N,6,5800,62,NaN,4,123.24249,1H,1,3,7.5,124,62,1630,NaN,90,N,NaN,DERIVED_PRIMARY_DIFFUSION_TRACEW_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,16,16,1
/home/anastasiia/Downloads/Series_Classification/0030/13,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,3.87,1.72,NaN,1,123.242471,1H,1,3,NaN,161,1,475,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,13,13,3
/home/anastasiia/Downloads/Series_Classification/0030/17,ok,36,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,EP,SK\SP,PFP\SFS,2D,NaN,N,6,5800,62,NaN,4,123.24249,1H,1,3,7.5,124,62,1630,NaN,90,N,NaN,DERIVED_PRIMARY_DIFFUSION_TRACEW_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,17,17,1
/home/anastasiia/Downloads/Series_Classification/0030/14,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,4.11,1.9,NaN,1,123.242472,1H,1,3,NaN,145,1,400,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,14,14,1
/home/anastasiia/Downloads/Series_Classification/0030/2,ok,27,False,False,cor,True,False,1,None,NaN,Valid 3D Grid,NaN,NaN,NaN,NaN,NaN,NaN,SE,SK\SP\OSP,PFP,2D,NaN,N,6,1000,87,NaN,1,123.242476,1H,1,3,7.98,158,81,700,NaN,180,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,2,2,1
/home/anastasiia/Downloads/Series_Classification/0030/18,ok,36,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,EP,SK\SP,PFP\SFS,2D,NaN,N,6,5800,62,NaN,4,123.24249,1H,1,3,7.5,124,62,1630,NaN,90,N,NaN,DERIVED_PRIMARY_DIFFUSION_ADC_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,18,18,1
/home/anastasiia/Downloads/Series_Classification/0030/11,ok,72,False,True,tra,True,False,1,None,NaN,Valid 3D Grid,Multihance,NaN,14,0,NaN,0,GR,SP\OSP,PFP\FS,3D,NaN,N,4,3.87,1.72,NaN,1,123.242471,1H,1,3,NaN,161,1,475,NaN,12,N,NaN,ORIGINAL_PRIMARY_M_NORM_DIS2D,1.2.840.10008.5.1.4.1.1.4,MR,NaN,11,11,1
